id,camera_view_id,company,date,day_of_week,location,mood,time_of_day,weather
594,-1,alone,2025-02-01 02:17:57.344,Saturday,home,indifferent,night,cloudy
595,-1,alone,2025-02-01 02:19:58.624,Saturday,home,indifferent,night,cloudy
596,-1,alone,2025-02-01 02:21:19.719,Saturday,home,indifferent,night,cloudy
597,-1,alone,2025-02-01 02:23:04.838,Saturday,home,indifferent,night,cloudy
598,-1,alone,2025-02-01 02:24:19.402,Saturday,home,indifferent,night,cloudy
599,-1,alone,2025-02-01 02:26:29.33,Saturday,home,indifferent,night,cloudy
600,-1,alone,2025-02-01 02:27:54.372,Saturday,home,indifferent,night,cloudy
601,-1,alone,2025-02-01 02:30:16.981,Saturday,home,indifferent,night,cloudy
602,-1,alone,2025-02-01 02:32:13.844,Saturday,home,indifferent,night,cloudy
603,-1,alone,2025-02-01 02:34:33.598,Saturday,home,indifferent,night,cloudy
604,-1,alone,2025-02-01 02:37:02.497,Saturday,home,indifferent,night,cloudy
605,-1,alone,2025-02-01 02:39:12.731,Saturday,home,indifferent,night,cloudy
606,-1,alone,2025-02-01 02:41:25.639,Saturday,home,indifferent,night,cloudy
607,-1,alone,2025-02-01 02:43:00.748,Saturday,home,indifferent,night,cloudy
608,-1,alone,2025-02-01 02:44:48.981,Saturday,home,indifferent,night,cloudy
609,-1,alone,2025-02-01 02:46:34.502,Saturday,home,indifferent,night,cloudy
2916,2916,alone,2025-02-09 23:14:21.292,Monday,home,anxious,night,dark
611,-1,partner,2025-02-01 06:50:33.609,Saturday,home,relaxed,morning,cloudy
612,-1,partner,2025-02-01 06:51:29.32,Saturday,home,relaxed,morning,cloudy
613,-1,partner,2025-02-01 06:52:45.046,Saturday,home,relaxed,morning,cloudy
614,-1,partner,2025-02-01 06:55:17.664,Saturday,home,relaxed,morning,cloudy
615,-1,partner,2025-02-01 06:57:43.017,Saturday,home,relaxed,morning,cloudy
616,-1,partner,2025-02-01 06:58:13.461,Saturday,home,relaxed,morning,cloudy
617,-1,partner,2025-02-01 06:59:25.301,Saturday,home,relaxed,morning,cloudy
618,-1,partner,2025-02-01 07:00:27.349,Saturday,home,relaxed,morning,cloudy
619,-1,alone,2025-02-01 11:16:34.52,Saturday,home,indifferent,afternoon,partly_sunny
620,-1,alone,2025-02-01 11:19:07.276,Saturday,home,indifferent,afternoon,partly_sunny
621,-1,alone,2025-02-01 11:20:32.736,Saturday,home,indifferent,afternoon,partly_sunny
622,-1,alone,2025-02-01 11:22:39.387,Saturday,home,indifferent,afternoon,partly_sunny
623,-1,alone,2025-02-01 11:24:18.241,Saturday,home,indifferent,afternoon,partly_sunny
624,-1,alone,2025-02-01 12:25:18.812,Saturday,home,relaxed,afternoon,sunny
625,-1,alone,2025-02-01 12:28:10.246,Saturday,home,relaxed,afternoon,sunny
626,-1,alone,2025-02-01 12:30:28.519,Saturday,home,relaxed,afternoon,sunny
627,-1,alone,2025-02-01 12:33:19.775,Saturday,home,relaxed,afternoon,sunny
628,-1,alone,2025-02-01 12:35:57.182,Saturday,home,relaxed,afternoon,sunny
629,-1,alone,2025-02-01 12:37:30.568,Saturday,home,relaxed,afternoon,sunny
630,-1,alone,2025-02-01 13:28:12.983,Saturday,home,relaxed,afternoon,sunny
631,-1,alone,2025-02-01 13:28:28.935,Saturday,home,relaxed,afternoon,sunny
632,-1,alone,2025-02-01 13:39:53.871,Saturday,home,relaxed,afternoon,sunny
633,-1,family,2025-02-01 17:14:34.565,Saturday,home,happy,evening,sunny
634,-1,family,2025-02-01 17:14:59.271,Saturday,home,happy,evening,sunny
635,-1,family,2025-02-01 17:15:15.204,Saturday,home,happy,evening,sunny
636,-1,family,2025-02-01 17:15:32.501,Saturday,home,happy,evening,sunny
637,-1,family,2025-02-01 17:15:41.741,Saturday,home,happy,evening,sunny
638,-1,family,2025-02-01 17:15:54.4,Saturday,home,happy,evening,sunny
639,-1,family,2025-02-01 17:16:10.137,Saturday,home,happy,evening,sunny
